title,url,category,instructor,platform,search_corpus
A Technical Leader's Qualities and Effectiveness,https://www.coursera.org/learn/a-technical-leaders-qualities-and-effectiveness,Personal Development,['~103671058'],Coursera,"a technical leader's qualities and effectiveness personal development stakeholder management, accountability, visionary, mentorship, courage, office management, professional development, collaboration, leadership, engineering management, growth mindedness, business leadership, negotiation, positivity, technical management, personal development, resilience, team leadership"
Learn SAP ABAP Fundamentals and Core Programming Concepts,https://www.coursera.org/learn/abap-fundamentals-and-core-programming,Computer Science,['board-infinity'],Coursera,"learn sap abap fundamentals and core programming concepts computer science data entry, debugging, data structures, user interface (ui), programming principles, sap applications, object oriented programming (oop), user interface (ui) design, development environment, business reporting, development testing, maintainability, business logic"
The ABC of sustainability,https://www.coursera.org/learn/abc-sustainability,Physical Science And Engineering,['~103719571'],Coursera,"the abc of sustainability physical science and engineering sustainability reporting, sustainable business, corporate sustainability, critical thinking, environment and resource management, finance, climate change adaptation, stakeholder engagement, sustainable development, environmental social and corporate governance (esg), social justice, economics, climate change mitigation"
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.,https://www.coursera.org/learn/abdomen-anatomy,Health,"['bboekestijn', 'paulgobee', 'frisojansen', 'bphierck', 'djansma', 'deruiter']",Coursera,"anatomy of the abdomen and pelvis; a journey from basis to clinic. health urology, general surgery, visualization (computer graphics), medical imaging, gynecology, clinical practices, physiology, pathology, diagnostic tests, patient evaluation, medical terminology, anatomy"
Introduction to Ableton Live,https://www.coursera.org/learn/ableton-live,Arts And Humanities,['erinbarra'],Coursera,"introduction to ableton live arts and humanities editing, music, technical support, automation, creativity, file management"
Aboriginal Worldviews and Education,https://www.coursera.org/learn/aboriginal-education,Social Sciences,['~874189'],Coursera,"aboriginal worldviews and education social sciences social studies, higher education, social justice, diversity awareness, education and training, research, cultural diversity, social sciences, cultural sensitivity"
Academic Discussions in English,https://www.coursera.org/learn/academic-discussion-english,Language Learning,"['~13960609', 'tamychapman', 'helennam', 'megparker']",Coursera,"academic discussions in english language learning interpersonal communications, verbal communication skills, english language, discussion facilitation, constructive feedback, vocabulary, critical thinking, collaboration, active listening, public speaking, social skills"
Academic Skills for University Success: Capstone,https://www.coursera.org/learn/academic-skills-project,Social Sciences,"['lydia-dutcher', 'jessica-blackburn', 'katherine', 'luke-alexander']",Coursera,"academic skills for university success: capstone social sciences problem solving, ethical standards and conduct, creative problem-solving, critical thinking, writing, planning, research, verbal communication skills, brainstorming, research methodologies, complex problem solving"
Academic Success for English Learners,https://www.coursera.org/learn/academic-success-for-english-learners,Language Learning,"['alicellanos', 'rachelkraut']",Coursera,"academic success for english learners language learning differentiated instruction, instructional strategies, learning strategies, lesson planning, language learning, special education, student engagement, teaching, developmental disabilities, cultural responsiveness, individualized education programs (iep)"
Project: Writing a Research Paper,https://www.coursera.org/learn/academic-writing-capstone,Language Learning,"['~13960609', 'helennam', 'tamychapman']",Coursera,"project: writing a research paper language learning proofreading, editing, grammar, peer review, writing, style guides"
Academic Information Seeking,https://www.coursera.org/learn/academicinfoseek,Personal Development,"['~5969898', '~13101254']",Coursera,"academic information seeking personal development intellectual property, research, data collection, document management, information management, record keeping"
Accelerate Your Job Search with AI,https://www.coursera.org/learn/accelerate-your-job-search-with-ai,Personal Development,['google-career-certificates'],Coursera,"accelerate your job search with ai personal development generative ai, planning, google gemini, prompt engineering, professional development, communication, llm application, interviewing skills, problem solving"
Access Control Concepts,https://www.coursera.org/learn/access-control-concepts,Information Technology,['~31081695'],Coursera,"access control concepts information technology security awareness, data access, authorization (computing), authentications, cyber security policies, role-based access control (rbac), security controls, identity and access management"
Access Control,https://www.coursera.org/learn/access-controls,Information Technology,['~31081695'],Coursera,"access control information technology multi-factor authentication, data access, user provisioning, authentications, computer security, identity and access management, role-based access control (rbac), security controls, information systems security, authorization (computing)"
An Introduction to Accessibility and Inclusive Design,https://www.coursera.org/learn/accessibility,Information Technology,"['taniah', 'marc-thompson', 'lorilane']",Coursera,"an introduction to accessibility and inclusive design information technology advocacy, education and training, microsoft office, law, regulation, and compliance, web content accessibility guidelines, adaptive equipment, hypertext markup language (html), disabilities, visual impairment education, instructional design"
Accessibility to the Scenic Arts,https://www.coursera.org/learn/accessibility-scenic-arts,Arts And Humanities,"['pilar-orero', 'anna-matamala', 'sharon-black']",Coursera,"accessibility to the scenic arts arts and humanities diversity awareness, web content accessibility guidelines, performing arts, disabilities, law, regulation, and compliance, media and communications, diversity equity and inclusion initiatives, planning, communication strategies, cultural diversity, needs assessment, coordinating, organizational skills, policy development"
Accounting for Decision Making,https://www.coursera.org/learn/accounting,Business,['gregmiller'],Coursera,"accounting for decision making business inventory management, revenue management, general accounting, decision making, accounting, inventory control systems, ledgers (accounting), financial statements, financial acumen"
Accounting 1,https://www.coursera.org/learn/accounting-1,Business,['~41738790'],Coursera,"accounting 1 business financial statements, profit and loss (p&l) management, working capital, financial reporting, bookkeeping, cash flows, general accounting, accrual accounting, ledgers (accounting), income statement, financial accounting, accounts payable and receivable, balance sheet, accounting, financial analysis"
Accounting 2,https://www.coursera.org/learn/accounting-2,Business,['~41738790'],Coursera,"accounting 2 business cash flows, financial reporting, corporate finance, revenue recognition, asset management, inventory accounting, balance sheet, financial statements, securities (finance), profit and loss (p&l) management, mergers & acquisitions, equities, financial market, depreciation, tax, accounting, financial accounting, accounts receivable"
Accounting Analytics,https://www.coursera.org/learn/accounting-analytics,Business,"['~1937011', '~14757138']",Coursera,"accounting analytics business operational analysis, fraud detection, analytics, finance, key performance indicators (kpis), financial data, business analytics, financial forecasting, accounting, business metrics, predictive analytics, performance analysis, financial analysis, financial statement analysis, return on investment"
Assets in Accounting,https://www.coursera.org/learn/accounting-assets,Business,['~158154727'],Coursera,"assets in accounting business operating expense, capital expenditure, inventory control, income statement, balance sheet, property accounting, lease contracts, accounting, financial accounting, accounting records, asset management, bookkeeping, depreciation, fixed asset, financial statements, inventory accounting"
Achieving Health Equity in Healthcare,https://www.coursera.org/learn/achieving-health-equity-in-healthcare,Health,['minalpatel'],Coursera,"achieving health equity in healthcare health health disparities, health care, community health, public health, social justice, health care procedure and regulation, social determinants of health, diversity equity and inclusion initiatives, health systems, continuous quality improvement (cqi), health policy, cultural diversity, health equity"
"Act on Climate: Steps to Individual, Community, and Political Action",https://www.coursera.org/learn/act-on-climate,Physical Science And Engineering,['~21991111'],Coursera,"act on climate: steps to individual, community, and political action physical science and engineering climate change mitigation, climate change adaptation, sustainable design, driving engagement, sustainable development"
Foundations for Active Learning in STEM Courses,https://www.coursera.org/learn/active-learning-in-stem-courses,Social Sciences,"['~184299955', '~36268133', '~97555527', 'josephcutrone']",Coursera,"foundations for active learning in stem courses social sciences cooperation, education software and technology, technology solutions, learning management systems, blended learning, student engagement, mathematics education, student-centred learning, instructional strategies, classroom management, collaboration, learning theory, teamwork, pedagogy, professional development, teaching, interactive learning, problem solving, creative problem-solving, drive engagement"
ART of the MOOC: Activism and Social Movements,https://www.coursera.org/learn/activism-social-movements,Arts And Humanities,"['~10670344', '~14971596']",Coursera,"art of the mooc: activism and social movements arts and humanities art history, aesthetics, performing arts, creativity, discussion facilitation, advocacy, liberal arts, student engagement, social justice, cultural diversity, community organizing, social sciences, media and communications"
Activism in Sports and Culture,https://www.coursera.org/learn/activism-sports-culture,Arts And Humanities,['~74118867'],Coursera,"activism in sports and culture arts and humanities social justice, social studies, sociology, writing, cultural responsiveness, journalism, timelines, media and communications, social sciences"
Activity Design with PhET Simulations for STEM Education,https://www.coursera.org/learn/activity-design-with-phet-simulations-for-stem-education,Social Sciences,"['zmbasu', '~108092128']",Coursera,"activity design with phet simulations for stem education social sciences experimentation, mathematics education, teaching, physics, biology, chemistry, simulation and simulation software, design strategies, graphing"
William Shakespeare's Romeo & Juliet: An Actor's Perspective,https://www.coursera.org/learn/actors-discuss-romeo-and-juliet,Arts And Humanities,['kevin-rich'],Coursera,"william shakespeare's romeo & juliet: an actor's perspective arts and humanities performing arts, art history, oral expression, storytelling"
Acupressure Essentials: Pressure Point Techniques for Symptom Management and Self-Care,https://www.coursera.org/learn/acupressure,Health,"['kim-christensen', 'megan-voss']",Coursera,"acupressure essentials: pressure point techniques for symptom management and self-care health clinical practices, treatment planning, manual therapy, pain management, mindfulness, patient communication, clinical assessment, mental health"
Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale,https://www.coursera.org/learn/acute-stroke-race-scale,Health,"['natalia-perez-de-la-ossa', '~32656740', '~40103138']",Coursera,"prehospital care of acute stroke and patient selection for endovascular treatment using the race scale health patient evaluation, emergency medicine, emergency departments, patient treatment, clinical assessment, neurology, triage, diagnostic tests, emergency medical services, acute care"
The Addicted Brain,https://www.coursera.org/learn/addiction-and-the-brain,Health,['michaelkuhar'],Coursera,"the addicted brain health health policy, social studies, substance abuse, vulnerability, neurology, pharmacology, case studies, mental and behavioral health, public health, behavioral health"
Adding Electronics to Rapid Prototypes,https://www.coursera.org/learn/adding-electronics-to-rapid-prototypes,Physical Science And Engineering,['~129974512'],Coursera,"adding electronics to rapid prototypes physical science and engineering engineering, scientific, and technical instruments, electrical wiring, hardware design, basic electrical systems, machine controls, electronic components, pic microcontrollers, electronics, test equipment, embedded systems, prototyping, mechanical design, electrical engineering, electronic hardware"
Additional Process Techniques in Microfabrication,https://www.coursera.org/learn/additional-process-techniques-in-microfabrication,Physical Science And Engineering,"['~160673918', '~160758939']",Coursera,"additional process techniques in microfabrication physical science and engineering manufacturing processes, laboratory testing, product testing, mechanical engineering, electrical engineering, electronics, process engineering, materials science, semiconductors, quality assurance, test engineering, chemistry"
ADHD: Everyday Strategies for Elementary Students,https://www.coursera.org/learn/adhd-treatment,Social Sciences,['~16318257'],Coursera,"adhd: everyday strategies for elementary students social sciences teaching, planning, classroom management, diagnostic tests, student engagement, treatment planning, child development, instructional strategies, positive behavior support, parent communication, psychiatric assessments, clinical assessment, communication, mental health diseases and disorders, working with children, behavior management"
Adjectives and Adjective Clauses,https://www.coursera.org/learn/adjective-clauses,Language Learning,"['judyhu', '~13960609', 'tamychapman']",Coursera,"adjectives and adjective clauses language learning vocabulary, oral comprehension, grammar, english language"
Digital Marketing,https://www.coursera.org/learn/adobe-digital-marketing,Business,['adobe'],Coursera,"digital marketing business marketing strategy and techniques, marketing effectiveness, marketing automation, digital advertising, customer acquisition management, content creation, advertising, promotional strategies, target market, digital marketing, marketing planning, customer relationship management, customer engagement, target audience, promotions and campaigns, lead generation"
Graphic Design,https://www.coursera.org/learn/adobe-graphic-design,Computer Science,['adobe'],Coursera,"graphic design computer science generative ai, color theory, graphics software, adobe illustrator, design, graphic and visual design, typography, graphic and visual design software, graphic design, creative design, design elements and principles, adobe creative cloud, digital design"
Adobe Illustrator Basics for Beginners,https://www.coursera.org/learn/adobe-illustrator-basics-for-beginners,Computer Science,['~186501695'],Coursera,"adobe illustrator basics for beginners computer science design software, graphic and visual design, design, graphic and visual design software, graphic design, creative design, graphics software, color theory, adobe illustrator, creativity"
Adobe InDesign: Collaborative Design & Workflow Mastery,https://www.coursera.org/learn/adobe-in-design-collaborative-design--workflow-mastery,Computer Science,"['~180758883', '~141793623']",Coursera,"adobe indesign: collaborative design & workflow mastery computer science user feedback, style guides, collaboration, adobe creative cloud, document management, collaborative software, adobe indesign, file management, version control, branding, peer review"
Adobe Lightroom Essentials Pt. 1: Editing & Color Basics,https://www.coursera.org/learn/adobe-lightroom-essentials-pt-1-editing-color-basics,Arts And Humanities,['~186501695'],Coursera,"adobe lightroom essentials pt. 1: editing & color basics arts and humanities editing, color matching, adobe creative cloud, data import/export, photography, image quality, color theory, photo editing, adobe photoshop"
Adobe Lightroom Essentials Pt. 2: Organizing & Masking Tools,https://www.coursera.org/learn/adobe-lightroom-essentials-pt-2-organizing-masking-tools,Arts And Humanities,['~186501695'],Coursera,"adobe lightroom essentials pt. 2: organizing & masking tools arts and humanities photo editing, file management, photography, data import/export, adobe photoshop, image quality, cloud storage"
Adobe Lightroom Essentials Pt. 3: Advanced Edits & Presets,https://www.coursera.org/learn/adobe-lightroom-essentials-pt-3-advanced-edits-presets,Arts And Humanities,['~186501695'],Coursera,"adobe lightroom essentials pt. 3: advanced edits & presets arts and humanities editing, photography, adobe premiere, video editing, adobe photoshop, image quality, color theory, photo editing"
Advancing Proficiency in U.S. Payroll Fundamentals,https://www.coursera.org/learn/adp-advancing-proficiency-in-us-payroll-fundamentals,Business,['~155103792'],Coursera,"advancing proficiency in u.s. payroll fundamentals business tax laws, benefits administration, payroll processing, compliance reporting, payroll, tax compliance, regulatory requirements, payroll administration, income tax, tax, compensation and benefits, payroll tax"
Exploring the Field of U.S. Payroll,https://www.coursera.org/learn/adp-exploring-the-field-payroll,Business,['~155103792'],Coursera,"exploring the field of u.s. payroll business payroll administration, tax compliance, law, regulation, and compliance, payroll reporting, specialized accounting, payroll, organizational structure, data analysis, non-profit accounting, accounting, record keeping, payroll processing, payment processing and collection, tax laws, payroll tax"
The Payroll Cycle,https://www.coursera.org/learn/adp-the-payroll-cycle,Business,['~155103792'],Coursera,"the payroll cycle business employee onboarding, payroll administration, timelines, tax compliance, record keeping, payroll systems, payroll processing, data entry, compensation management, payroll, auditing, payroll reporting, data security"
The Payroll Professional,https://www.coursera.org/learn/adp-the-payroll-professional,Business,['~155103792'],Coursera,"the payroll professional business human resource strategy, payroll, compliance management, compensation and benefits, payroll systems, payroll reporting, payroll administration, payroll processing, payroll tax, customer service, compensation management"
Total Rewards & the Role of Compensation & Benefits,https://www.coursera.org/learn/adp-total-rewards-and-role-of-comp-and-benefits,Business,['~155103792'],Coursera,"total rewards & the role of compensation & benefits business compensation management, organizational strategy, performance management, human resources, compensation and benefits, benefits administration, compensation strategy, human resource strategy, employee retention"
Advanced AI and Machine Learning Techniques and Capstone,https://www.coursera.org/learn/advanced-ai-and-machine-learning-techniques-and-capstone,Computer Science,['microsoft'],Coursera,"advanced ai and machine learning techniques and capstone computer science machine learning methods, applied machine learning, generative ai, microsoft azure, scalability, machine learning, distributed computing, data ethics, mlops (machine learning operations), artificial intelligence and machine learning (ai/ml), responsible ai, ethical standards and conduct, information privacy"
Advanced AI Techniques for the Supply Chain,https://www.coursera.org/learn/advanced-ai-techniques-for-the-supply-chain,Data Science,"['~77903726', '~77881195']",Coursera,"advanced ai techniques for the supply chain data science machine learning algorithms, image analysis, classification and regression tree (cart), artificial neural networks, random forest algorithm, supply chain, anomaly detection, computer vision, statistical modeling, applied machine learning, supervised learning, natural language processing, predictive modeling, deep learning, machine learning, demand planning, artificial intelligence and machine learning (ai/ml), customer demand planning, supply chain management, machine learning methods"
Advanced Algorithms and Complexity,https://www.coursera.org/learn/advanced-algorithms-and-complexity,Computer Science,"['~46748', 'kulikov', '~103620247', 'dakane']",Coursera,"advanced algorithms and complexity computer science computer science, data structures, algorithms, linear algebra, theoretical computer science, big data, network routing, computational thinking, probability & statistics, python programming, network model, network analysis, graph theory, operations research"
Advanced Application Management with Red Hat OpenShift,https://www.coursera.org/learn/advanced-application-management-with-red-hat-openshift,Information Technology,['~95296645'],Coursera,"advanced application management with red hat openshift information technology platform as a service (paas), debugging, cloud platforms, openshift, git (version control system), continuous deployment, application deployment, postgresql, cloud computing, kubernetes, cloud applications, development environment, yaml, cloud management, containerization, scalability"
Advanced Capstone Spacecraft Dynamics and Control Project,https://www.coursera.org/learn/advanced-capstone-spacecraft-dynamics-control-project,Physical Science And Engineering,['hanspeter-schaub'],Coursera,"advanced capstone spacecraft dynamics and control project physical science and engineering differential equations, simulation and simulation software, vibrations, torque (physics), mechanical engineering, engineering calculations, mathematical modeling, mechanics, control systems, engineering analysis"
Advanced Clinical Data Science,https://www.coursera.org/learn/advanced-clinical-data-science,Data Science,"['laurakwiley', 'michael-kahn']",Coursera,"advanced clinical data science data science data modeling, electronic medical record, clinical data management, data analysis, clinical informatics, data quality, data science, health informatics, statistical modeling, time series analysis and forecasting"
Every Second Counts: Advanced and Emergency Clinical Skills,https://www.coursera.org/learn/advanced-clinical-decisions-emergency-care-training,Health,"['~166856442', '~167016541', '~166856472', '~166856230']",Coursera,"every second counts: advanced and emergency clinical skills health healthcare ethics, airway management, critical thinking, critical thinking and problem solving, laboratory testing, phlebotomy, automated external defibrillator, patient-centered care, cardiopulmonary resuscitation (cpr), emergency medicine, blood collection, diagnostic tests, decision making, patient communication, emergency response, first aid, medication administration, medical laboratory, dignity in care, health care"
Advanced Computer Vision with TensorFlow,https://www.coursera.org/learn/advanced-computer-vision-with-tensorflow,Data Science,"['~170597538', 'lmoroney']",Coursera,"advanced computer vision with tensorflow data science keras (neural network library), heat maps, image analysis, deep learning, tensorflow, network architecture, computer vision"
Advanced Creative Thinking and AI: Tools for Success,https://www.coursera.org/learn/advanced-creative-thinking,Personal Development,['peterchilds'],Coursera,"advanced creative thinking and ai: tools for success personal development ideation, creative thinking, cognitive flexibility, prototyping, creativity, sustainable design, critical thinking, design thinking, artificial intelligence, brainstorming, innovation"
Advanced Cybersecurity Concepts and Capstone Project,https://www.coursera.org/learn/advanced-cybersecurity-concepts-and-capstone-project,Information Technology,['microsoft'],Coursera,"advanced cybersecurity concepts and capstone project information technology vulnerability assessments, cyber security strategy, identity and access management, threat management, network security, security strategy, secure coding, cloud security, microsoft azure, mitre att&ck framework, security controls, cybersecurity, application security, asset management, threat detection, internet of things, threat modeling"
Advanced Data Analysis & Visualization with Copilot in Excel,https://www.coursera.org/learn/advanced-data-analysis-and-visualization-with-copilot-in-excel,Data Science,['microsoft'],Coursera,"advanced data analysis & visualization with copilot in excel data science data visualization software, microsoft copilot, statistical methods, data presentation, data integration, data analysis, data storytelling, data-driven decision-making, statistical analysis, excel formulas, microsoft excel, pivot tables and charts"
Advanced Data Analysis with Generative AI,https://www.coursera.org/learn/advanced-data-analysis-with-generative-ai,Data Science,['microsoft'],Coursera,"advanced data analysis with generative ai data science data quality, data analysis, unstructured data, data cleansing, anomaly detection, natural language processing, statistical analysis, time series analysis and forecasting, forecasting, advanced analytics, generative ai, text mining, predictive analytics, exploratory data analysis, predictive modeling"
Advanced Data Engineering with Snowflake,https://www.coursera.org/learn/advanced-data-engineering-with-snowflake,Computer Science,['~155311909'],Coursera,"advanced data engineering with snowflake computer science command-line interface, database management, version control, system monitoring, data analysis, continuous monitoring, ci/cd, databases, devops, data pipelines, data engineering"
